district,gender,race,major_award_count,allegation_count,sustained_count,unsustained_count,birth_year
1,M,White,0,5,0,0,1948
10,M,White,1,5,0,1,1949
10,M,White,1,1,0,0,1947
10,M,White,1,0,0,0,1940
10,M,White,1,0,0,0,1920
6,M,Hispanic,0,44,4,27,1960
18,M,White,0,18,2,9,1958
20,M,Asian/Pacific,0,15,1,6,1948
8,M,White,0,42,1,28,1957
2,M,Black,0,7,1,4,1949
22,M,White,0,14,3,9,1957
15,F,Black,0,27,3,21,1965
17,M,Hispanic,0,7,1,4,1949
19,M,White,0,31,3,18,1947
3,F,White,0,37,12,14,1948
11,F,White,0,8,1,4,1957
15,M,White,0,8,1,3,1961
1,M,White,0,14,1,9,1964
11,F,White,0,11,0,4,1947
9,M,White,0,22,0,12,1957
18,M,White,0,24,0,16,1957
22,M,White,0,10,0,7,1958
23,M,White,0,11,0,5,1955
2,M,White,0,12,0,7,1954
24,M,White,0,28,3,18,1951
5,M,White,0,6,3,2,1947
24,M,White,0,1,1,0,1931
20,M,White,0,8,0,5,1950
15,M,White,0,0,0,0,1935
8,M,White,0,0,0,0,1926
15,M,Black,0,3,1,2,1938
6,M,Black,0,2,1,0,1931
20,M,White,0,2,1,0,1950
5,M,White,0,8,3,3,1950
2,M,Black,0,15,6,5,1939
5,M,Black,0,2,2,0,1937
21,M,White,0,8,1,3,1939
17,M,White,0,8,2,4,1964
9,M,White,0,7,3,0,1947
1,F,Black,0,11,1,3,1956
8,M,White,0,11,2,5,1949
20,M,Hispanic,0,5,2,1,1947
24,M,White,0,4,2,1,1946
9,M,White,0,17,1,9,1962
21,M,White,0,25,3,12,1954
25,M,White,0,8,1,2,1945
13,M,White,0,3,1,1,1950
8,M,White,0,14,2,10,1955
18,M,White,0,7,2,2,1949
6,M,White,0,7,1,4,1952
17,M,White,0,17,3,9,1965
16,M,Hispanic,0,4,1,2,1951
6,M,White,0,20,3,11,1947
18,M,White,0,11,1,6,1961
24,F,White,0,13,2,5,1957
18,F,White,0,3,1,0,1948
